DATE (MM/DD/YYYY),KW,KWS,CHWTON,HTmmBTU,Combined mmBTU,Combined Tons Carbon,KW#Houses,KWlightbulbs,KWgalsgas,CHWTON#Houses,CHWTONlightbulbs,CHWTONgalsgas,HTmmBTU#Houses,HTmmBTUlightbulbs,HTmmBTUgalsgas,Total#Houses,Totallightbulbs,Totalgalsgas,GHG,DOW,AVG Air Temperature [deg F],MAX Air Temperature [deg F],MIN Air Temperature [deg F],AVG Rel Humidity [%],MAX Rel Humidity [%],MIN Rel Humidity [%],AVG Avg Wind Speed @ 3m [MPH],MAX Avg Wind Speed @ 3m [MPH],MIN Avg Wind Speed @ 3m [MPH],AVG Peak Wind Speed @ 3m [MPH],MAX Peak Wind Speed @ 3m [MPH],MIN Peak Wind Speed @ 3m [MPH],AVG Station Pressure [inHg],MAX Station Pressure [inHg],MIN Station Pressure [inHg]
2024-06-14,382412.1,40364.67,171296.23,97.28,3457.68,631.96,109261,27315161,10439,172121,43019334,16444,8146,2035887,778,289527,72370382,1407086,185.728,6,90.6104,102.866,75.92,10.0915,19.59,3.556,6.4159,27.134,0.0,9.2552,34.0014,0.0,27.265,27.3095,27.2136
2024-06-15,351996.4,39239.11,172730.73,97.99,3371.82,616.26,100570,25142610,9608,173562,43379597,16582,8205,2050671,784,282338,70572878,1415642,169.823,7,91.1359,106.376,72.554,10.5338,17.57,6.505,5.2443,28.8788,0.0,8.4216,34.0014,0.0,27.2257,27.2833,27.1596
2024-06-16,354962.23,40045.05,177595.68,94.98,3437.31,628.23,101418,25354455,9689,178451,44601378,17049,7953,1987684,760,287821,71943517,1454846,171.006,1,92.8252,105.89,77.522,12.003,22.12,6.431,6.0439,26.7985,0.0,9.1874,34.0014,0.0,27.1747,27.2416,27.0929
2024-06-17,369607.62,40759.07,174355.35,97.69,3451.11,630.76,105602,26400555,10089,175195,43787603,16738,8180,2044514,782,288977,72232672,1430329,178.564,2,90.8971,101.354,78.458,13.061,25.09,5.794,10.8221,33.6659,0.0,15.8847,42.3899,0.0,27.1187,27.1574,27.0545
2024-06-18,366056.03,40186.93,169924.45,96.01,3384.14,618.52,104587,26146869,9992,170743,42674826,16313,8040,2009405,768,283370,70831100,1394541,176.947,3,88.9103,99.986,76.352,14.2218,23.72,7.764,8.0932,25.859,0.0,12.1205,37.3568,0.0,27.1605,27.2177,27.1238
2024-06-19,369633.28,40250.71,171155.44,92.49,3407.6,622.81,105610,26402387,10090,171980,42983977,16431,7745,1935760,740,285334,71322124,1404732,178.857,4,90.4885,103.334,76.568,17.4074,33.15,7.556,6.3281,22.3246,0.0,9.5944,28.9683,0.0,27.2046,27.2526,27.145
2024-06-20,388908.83,36350.1,182389.03,85.1,3600.78,658.11,111117,27779213,10616,183267,45805181,17509,7126,1780948,681,301510,75365342,1496450,191.436,5,91.8552,107.168,76.172,23.1983,35.32,14.07,6.3668,19.3271,0.0,11.6728,32.3237,0.0,27.1688,27.2128,27.0947
2024-06-21,417397.82,38757.67,205365.73,80.96,3969.57,725.51,119257,29814142,11394,206355,51575551,19715,6779,1694379,648,332390,83084072,1682998,205.596,6,91.0754,104.198,81.932,32.5119,54.18,14.6,7.6251,22.1457,1.1341,14.7335,37.3568,3.8028,27.21,27.3001,27.1613
2024-06-22,415810.3,18519.02,202474.18,82.76,3931.26,718.51,118803,29700748,11350,203449,50849364,19438,6930,1732138,662,329182,82282249,1659713,215.737,7,82.7702,102.128,71.69,57.5123,98.4,24.06,3.8489,31.0487,0.0,7.8332,49.1008,0.0,27.3037,27.3531,27.2758
2024-06-23,410664.95,28163.61,204541.65,82.72,3938.47,719.83,117333,29333222,11210,205527,51368591,19636,6927,1731244,662,329786,82433057,1675759,207.691,1,86.635,99.392,78.116,52.5131,81.3,25.13,5.3439,22.3246,0.0,8.4046,32.3237,0.0,27.3036,27.3421,27.2388
